case,label,changed,rms_displacement_px,max_displacement_px,source_path
P8_S5_F0792,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_thyroid-cartilage.npy
P8_S5_F0792,tongue,False,9.344061823971474e-07,3.814697265625e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_tongue.npy
P8_S5_F0792,upper-incisor,False,1.4147956106172466e-06,2.3606217670556198e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_upper-incisor.npy
P8_S5_F0792,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_upper-lip.npy
P8_S5_F0792,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P8\S5\contours\0792_vocal-folds.npy
P9_S5_F0704,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_arytenoid-cartilage.npy
P9_S5_F0704,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_epiglottis.npy
P9_S5_F0704,lower-incisor,True,1.2253857539733306,2.725050967922949,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_lower-incisor.npy
P9_S5_F0704,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_lower-lip.npy
P9_S5_F0704,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_pharynx.npy
P9_S5_F0704,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_soft-palate-midline.npy
P9_S5_F0704,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_thyroid-cartilage.npy
P9_S5_F0704,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_tongue.npy
P9_S5_F0704,upper-incisor,True,1.4142137584094514,1.414216182301343,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_upper-incisor.npy
P9_S5_F0704,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_upper-lip.npy
P9_S5_F0704,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P9\S5\contours\0704_vocal-folds.npy
P10_S5_F0859,arytenoid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_arytenoid-cartilage.npy
P10_S5_F0859,epiglottis,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_epiglottis.npy
P10_S5_F0859,lower-incisor,True,0.1812551361185821,0.5228193682214242,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_lower-incisor.npy
P10_S5_F0859,lower-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_lower-lip.npy
P10_S5_F0859,pharynx,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_pharynx.npy
P10_S5_F0859,soft-palate-midline,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_soft-palate-midline.npy
P10_S5_F0859,thyroid-cartilage,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_thyroid-cartilage.npy
P10_S5_F0859,tongue,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_tongue.npy
P10_S5_F0859,upper-incisor,False,1.7801502348657323e-06,3.6886634227527904e-06,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_upper-incisor.npy
P10_S5_F0859,upper-lip,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_upper-lip.npy
P10_S5_F0859,vocal-folds,False,0.0,0.0,C:\Users\nhnguyen\PhD_A2A\Preprocess\inference\P10\S5\contours\0859_vocal-folds.npy
